country,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-12,2021-01,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2020-11,2021-02
Argentina,NA,NA,NA,NA,NA,24,9,13,NA,NA,34,43,31,136,407,382,567,495,624,365,272,423,680,220,39,16,37,340,484,597,424,126,32,82,683,378,29,41,45,54,40,73,115,81,47,46,61,187,69,23,6,NA,NA,5,15,51,41,24,NA,7,7,29,30
Australia,NA,8,11,756,314,50,438,728,492,448,165,168,133,199,193,116,190,327,231,568,448,494,713,657,768,863,872,876,833,852,834,814,869,899,906,897,771,619,647,677,633,597,685,651,623,702,809,826,857,826,767,779,746,690,623,565,690,813,521,585,512,62,100
Brazil,NA,NA,8,230,656,324,640,753,738,762,756,658,768,821,886,860,873,798,806,721,693,715,565,507,427,520,755,784,750,818,756,517,741,695,667,624,513,539,402,481,356,148,188,384,412,584,714,548,506,273,123,99,116,157,218,166,120,102,261,348,258,768,809
Canada,NA,NA,NA,925,903,929,340,514,975,950,969,929,926,879,836,904,849,867,808,868,909,813,724,701,690,721,916,914,884,882,882,884,857,876,888,790,686,574,625,616,650,697,562,841,869,828,830,826,893,911,900,925,911,894,858,893,814,755,799,696,761,948,887
China,22,416,579,290,84,5,18,9,35,14,13,9,19,47,66,95,120,119,111,266,98,229,80,392,193,714,337,737,259,265,687,456,548,981,984,990,986,990,948,934,925,937,930,904,899,916,781,733,889,905,901,889,850,898,886,757,283,143,188,43,64,NA,NA
France,NA,14,39,855,858,145,25,88,278,390,636,642,790,621,674,675,684,521,399,478,735,759,507,388,533,602,623,803,852,816,864,860,847,859,835,819,698,821,739,817,814,792,539,544,591,748,851,863,556,318,381,806,934,950,959,927,951,913,709,323,188,509,692
Germany,NA,6,19,732,360,121,624,104,318,379,599,651,823,783,760,768,709,584,633,624,701,672,657,525,589,617,729,761,791,802,832,876,747,745,760,685,631,600,594,369,281,220,441,656,608,515,349,370,140,176,123,186,300,655,562,603,648,541,385,313,196,653,787
India,NA,NA,NA,167,468,845,877,647,810,727,565,579,589,456,403,287,422,353,423,430,441,385,344,302,388,283,442,429,425,374,327,463,469,232,372,265,188,389,240,199,34,51,45,15,48,34,420,293,45,135,15,NA,33,27,16,NA,NA,NA,NA,NA,6,497,477
Italy,NA,NA,116,614,370,79,141,49,156,269,443,846,826,732,839,767,760,676,654,571,663,689,566,344,235,407,341,486,521,520,604,539,481,610,576,579,525,549,510,490,278,200,375,426,390,362,392,472,147,24,28,65,139,210,405,300,368,177,146,171,45,473,724
Japan,NA,11,134,653,981,447,422,973,977,982,986,985,970,992,973,968,919,923,898,934,971,809,988,963,889,927,959,952,970,968,929,981,975,921,895,892,895,900,846,712,611,582,609,616,641,635,594,565,678,598,597,593,741,748,760,800,791,658,841,810,750,986,982
Mexico,NA,NA,NA,43,408,469,391,321,299,182,170,619,653,739,676,646,700,625,632,760,668,716,612,482,430,449,458,665,632,736,780,849,559,878,726,587,289,392,540,648,410,412,554,298,161,81,123,487,514,243,107,121,182,650,176,36,17,NA,8,17,57,353,893
New Zealand,NA,NA,NA,245,123,NA,NA,NA,60,29,44,35,33,37,41,10,13,27,603,524,987,989,908,689,609,726,834,921,941,971,983,982,978,971,936,912,724,978,969,959,915,409,575,651,944,948,909,964,205,565,669,961,979,354,327,245,292,319,261,257,177,36,27
Russia,NA,NA,NA,146,181,207,125,89,55,321,169,248,92,180,157,376,342,220,35,109,438,336,279,525,322,104,18,66,30,495,745,647,876,734,516,243,280,373,350,270,165,86,129,635,833,898,703,538,591,454,520,533,320,204,379,366,69,245,85,13,91,258,225
Singapore,NA,10,39,368,440,164,126,114,53,33,59,92,138,172,378,577,353,968,986,988,916,909,957,947,864,962,972,988,987,981,992,984,958,964,979,964,952,881,815,832,895,730,697,988,985,975,989,967,208,162,736,986,986,515,260,259,395,320,449,257,243,50,91
South Africa,NA,NA,NA,30,154,274,261,789,338,382,381,232,160,128,152,265,446,435,388,394,264,451,527,498,370,525,778,780,622,381,251,477,652,519,140,712,724,433,200,167,53,50,87,131,140,121,40,54,78,6,31,82,23,42,80,59,41,36,64,55,26,208,78
South Korea,NA,6,135,109,24,201,270,290,324,145,200,447,404,988,974,981,899,810,909,862,870,953,905,682,709,804,765,775,839,764,772,820,803,794,717,737,709,702,666,611,658,656,674,773,718,657,651,838,697,779,955,157,139,718,889,371,158,127,105,118,129,347,795
United Kingdom,NA,NA,106,698,808,738,774,701,832,870,860,866,917,953,919,782,554,653,730,651,810,934,417,565,820,902,891,855,892,878,871,874,779,870,852,833,670,517,304,510,742,745,729,765,740,639,434,370,474,539,306,296,214,151,215,152,191,132,122,67,68,885,936
USA,NA,40,152,850,767,750,721,676,691,693,636,755,680,665,721,753,725,671,666,692,701,756,614,468,500,684,748,765,822,841,851,827,813,784,776,746,720,648,626,664,616,665,669,705,657,680,651,666,632,557,540,525,559,603,615,609,609,606,611,639,630,755,613
