"country","VOC_type","total_voc_cases","peak_week","peak_cases"
"1","VOC Omicron",0,1,0
"1","VOC Delta",0,1,0
"1","VOC Alpha",0,1,0
"1","VOC Beta",0,1,0
"1","VOC Gamma",0,1,0
"1","VOC Original",0,1,0
"2","VOC Omicron",0,1,0
"2","VOC Delta",0,1,0
"2","VOC Alpha",0,1,0
"2","VOC Beta",0,1,0
"2","VOC Gamma",0,1,0
"2","VOC Original",0,1,0
"3","VOC Omicron",0,1,0
"3","VOC Delta",0,1,0
"3","VOC Alpha",0,1,0
"3","VOC Beta",0,1,0
"3","VOC Gamma",0,1,0
"3","VOC Original",0,1,0
"4","VOC Omicron",0,1,0
"4","VOC Delta",0,1,0
"4","VOC Alpha",0,1,0
"4","VOC Beta",0,1,0
"4","VOC Gamma",0,1,0
"4","VOC Original",0,1,0
"5","VOC Omicron",0,1,0
"5","VOC Delta",0,1,0
"5","VOC Alpha",0,1,0
"5","VOC Beta",0,1,0
"5","VOC Gamma",0,1,0
"5","VOC Original",0,1,0
"6","VOC Omicron",0,1,0
"6","VOC Delta",0,1,0
"6","VOC Alpha",0,1,0
"6","VOC Beta",0,1,0
"6","VOC Gamma",0,1,0
"6","VOC Original",0,1,0
"7","VOC Omicron",0,1,0
"7","VOC Delta",0,1,0
"7","VOC Alpha",0,1,0
"7","VOC Beta",0,1,0
"7","VOC Gamma",0,1,0
"7","VOC Original",0,1,0
"8","VOC Omicron",0,1,0
"8","VOC Delta",0,1,0
"8","VOC Alpha",0,1,0
"8","VOC Beta",0,1,0
"8","VOC Gamma",0,1,0
"8","VOC Original",0,1,0
"9","VOC Omicron",0,1,0
"9","VOC Delta",0,1,0
"9","VOC Alpha",0,1,0
"9","VOC Beta",0,1,0
"9","VOC Gamma",0,1,0
"9","VOC Original",0,1,0
"10","VOC Omicron",0,1,0
"10","VOC Delta",0,1,0
"10","VOC Alpha",0,1,0
"10","VOC Beta",0,1,0
"10","VOC Gamma",0,1,0
"10","VOC Original",0,1,0
"11","VOC Omicron",0,1,0
"11","VOC Delta",0,1,0
"11","VOC Alpha",0,1,0
"11","VOC Beta",0,1,0
"11","VOC Gamma",0,1,0
"11","VOC Original",0,1,0
"12","VOC Omicron",0,1,0
"12","VOC Delta",0,1,0
"12","VOC Alpha",0,1,0
"12","VOC Beta",0,1,0
"12","VOC Gamma",0,1,0
"12","VOC Original",0,1,0
"13","VOC Omicron",0,1,0
"13","VOC Delta",0,1,0
"13","VOC Alpha",0,1,0
"13","VOC Beta",0,1,0
"13","VOC Gamma",0,1,0
"13","VOC Original",0,1,0
"14","VOC Omicron",0,1,0
"14","VOC Delta",0,1,0
"14","VOC Alpha",0,1,0
"14","VOC Beta",0,1,0
"14","VOC Gamma",0,1,0
"14","VOC Original",0,1,0
"15","VOC Omicron",0,1,0
"15","VOC Delta",0,1,0
"15","VOC Alpha",0,1,0
"15","VOC Beta",0,1,0
"15","VOC Gamma",0,1,0
"15","VOC Original",0,1,0
"16","VOC Omicron",0,1,0
"16","VOC Delta",0,1,0
"16","VOC Alpha",0,1,0
"16","VOC Beta",0,1,0
"16","VOC Gamma",0,1,0
"16","VOC Original",0,1,0
"17","VOC Omicron",0,1,0
"17","VOC Delta",0,1,0
"17","VOC Alpha",0,1,0
"17","VOC Beta",0,1,0
"17","VOC Gamma",0,1,0
"17","VOC Original",0,1,0
"18","VOC Omicron",0,1,0
"18","VOC Delta",0,1,0
"18","VOC Alpha",0,1,0
"18","VOC Beta",0,1,0
"18","VOC Gamma",0,1,0
"18","VOC Original",0,1,0
